,Type,Reynolds,Toil,Tcool,Time,cx,cy,major,minor,angle,AR
62,Macro,1000,32,6,1,368.47613525390625,253.36024475097656,12.509855270385742,7.789651870727539,103.2716293334961,1.6059581965910557
63,Macro,1000,32,6,1,368.5,253.0,11.0,6.0,90.0,1.8333333333333333
64,Macro,1000,32,6,1,23.5,248.5,7.071067810058594,5.773502826690674,45.0,1.224744842484415
65,Macro,1000,32,6,1,23.5,248.5,5.0,5.0,90.0,1.0
66,Macro,1000,32,6,1,51.0,247.0,6.0,4.0,90.0,1.5
67,Macro,1000,32,6,1,76.0,242.0,4.0,4.0,90.0,1.0
68,Macro,1000,32,6,1,197.5,237.0,5.0,4.0,90.0,1.25
69,Macro,1000,32,6,1,292.5,237.0,7.849597454071045,6.387300968170166,31.71747398376465,1.228938090312002
70,Macro,1000,32,6,1,292.5,237.0,6.0,5.0,90.0,1.2
71,Macro,1000,32,6,1,386.5,232.0,5.0,4.0,90.0,1.25
72,Macro,1000,32,6,1,154.2661895751953,233.72662353515625,8.912296295166016,7.380859851837158,166.71746826171875,1.2074875385891075
73,Macro,1000,32,6,1,154.5,233.5,7.0,5.0,90.0,1.4
74,Macro,1000,32,6,1,165.2394561767578,228.6881103515625,11.208809852600098,5.712245941162109,79.91045379638672,1.962242166750922
75,Macro,1000,32,6,1,165.0,228.5,8.0,5.0,90.0,1.6
76,Macro,1000,32,6,1,99.75814056396484,226.52413940429688,9.102737426757812,5.949645042419434,10.677319526672363,1.5299631090355212
77,Macro,1000,32,6,1,99.5,226.0,6.0,5.0,90.0,1.2
78,Macro,1000,32,6,1,51.5,226.5,9.578749656677246,5.552150726318359,164.3884735107422,1.725232280037349
79,Macro,1000,32,6,1,51.5,226.5,7.0,5.0,90.0,1.4
80,Macro,1000,32,6,1,173.0,221.0,4.0,4.0,90.0,1.0
81,Macro,1000,32,6,1,242.0,216.0,4.0,4.0,90.0,1.0
82,Macro,1000,32,6,1,35.0,216.5,5.0,4.0,90.0,1.25
83,Macro,1000,32,6,1,296.7272644042969,204.72727966308594,7.106690406799316,6.428243637084961,45.0,1.1055415457187017
84,Macro,1000,32,6,1,296.5,204.5,5.0,5.0,90.0,1.0
85,Macro,1000,32,6,1,178.47349548339844,205.95797729492188,16.768346786499023,6.695473670959473,13.062787055969238,2.50443024803891
86,Macro,1000,32,6,1,178.5,207.5,11.0,7.0,90.0,1.5714285714285714
87,Macro,1000,32,6,1,192.0,202.0,4.0,4.0,90.0,1.0
88,Macro,1000,32,6,1,230.8365936279297,196.60552978515625,9.723605155944824,7.827761650085449,83.34099578857422,1.2421948432523722
89,Macro,1000,32,6,1,230.0,196.5,7.0,6.0,90.0,1.1666666666666667
90,Macro,1000,32,6,1,159.5,191.5,7.0,5.0,90.0,1.4
91,Macro,1000,32,6,1,383.0,190.0,4.0,4.0,90.0,1.0
92,Macro,1000,32,6,1,247.72727966308594,189.27272033691406,7.106690406799316,6.428243637084961,135.0,1.1055415457187017
93,Macro,1000,32,6,1,247.5,189.5,5.0,5.0,90.0,1.0
94,Macro,1000,32,6,1,222.0,189.0,4.0,4.0,90.0,1.0
95,Macro,1000,32,6,1,2.688113212585449,190.2394561767578,11.208810806274414,5.712245464324951,10.089544296264648,1.9622424975042672
96,Macro,1000,32,6,1,2.5,190.0,8.0,5.0,90.0,1.6
97,Macro,1000,32,6,1,138.0,178.5,5.0,4.0,90.0,1.25
98,Macro,1000,32,6,1,96.0,178.5,5.0,4.0,90.0,1.25
99,Macro,1000,32,6,1,383.0,176.0,7.211102485656738,7.211102485656738,0.0,1.0
100,Macro,1000,32,6,1,383.5,176.0,6.0,5.0,90.0,1.2
101,Macro,1000,32,6,1,268.0,175.0,4.0,4.0,90.0,1.0
102,Macro,1000,32,6,1,201.5,164.5,9.578749656677246,5.552150726318359,15.611534118652344,1.725232280037349
103,Macro,1000,32,6,1,201.5,164.5,7.0,5.0,90.0,1.4
104,Macro,1000,32,6,1,116.43902587890625,159.9268341064453,9.377416610717773,7.881924152374268,31.71747398376465,1.189736976584965
105,Macro,1000,32,6,1,116.0,159.5,7.0,6.0,90.0,1.1666666666666667
106,Macro,1000,32,6,1,335.7272644042969,155.72727966308594,7.106690406799316,6.428243637084961,45.0,1.1055415457187017
107,Macro,1000,32,6,1,335.5,155.5,5.0,5.0,90.0,1.0
108,Macro,1000,32,6,1,372.7310791015625,154.22689819335938,7.944725513458252,6.9812493324279785,22.5,1.138009134920152
109,Macro,1000,32,6,1,372.5,154.0,6.0,5.0,90.0,1.2
110,Macro,1000,32,6,1,198.0,144.5,5.0,4.0,90.0,1.25
111,Macro,1000,32,6,1,228.336181640625,170.03855895996094,61.56825637817383,9.837908744812012,5.823083877563477,6.258266667765305
112,Macro,1000,32,6,1,230.0,148.0,14.0,8.0,90.0,1.75
113,Macro,1000,32,6,1,31.272727966308594,143.72727966308594,7.106690406799316,6.428243637084961,135.0,1.1055415457187017
114,Macro,1000,32,6,1,31.5,143.5,5.0,5.0,90.0,1.0
115,Macro,1000,32,6,1,344.0,134.0,4.0,4.0,90.0,1.0
116,Macro,1000,32,6,1,78.0,134.5,5.0,4.0,90.0,1.25
117,Macro,1000,32,6,1,283.63568115234375,131.87237548828125,8.299671173095703,5.715206146240234,159.5432586669922,1.45220853994141
118,Macro,1000,32,6,1,283.5,132.0,6.0,5.0,90.0,1.2
119,Macro,1000,32,6,1,227.5,118.0,5.0,4.0,90.0,1.25
120,Macro,1000,32,6,1,253.25453186035156,112.83087158203125,11.239886283874512,6.382788181304932,77.740478515625,1.760968085514091
121,Macro,1000,32,6,1,253.5,113.0,7.0,6.0,90.0,1.1666666666666667
122,Macro,1000,32,6,1,191.0,111.0,4.0,4.0,90.0,1.0
123,Macro,1000,32,6,1,40.76354217529297,100.97342681884766,11.053703308105469,7.361873626708984,55.55824279785156,1.5014796325764779
124,Macro,1000,32,6,1,41.5,101.0,8.0,7.0,90.0,1.1428571428571428
125,Macro,1000,32,6,1,28.0,98.5,5.0,4.0,90.0,1.25
126,Macro,1000,32,6,1,127.0,79.5,5.0,4.0,90.0,1.25
127,Macro,1000,32,6,1,205.0,77.0,4.0,4.0,90.0,1.0
128,Macro,1000,32,6,1,161.0,71.0,4.0,4.0,90.0,1.0
129,Macro,1000,32,6,1,409.0,64.5,5.0,2.0,90.0,2.5
130,Macro,1000,32,6,1,321.0,64.5,5.0,4.0,90.0,1.25
131,Macro,1000,32,6,1,151.0,44.0,4.0,4.0,90.0,1.0
132,Macro,1000,32,6,1,44.0,41.5,5.0,4.0,90.0,1.25
133,Macro,1000,32,6,1,1.0,31.0,4.0,2.0,90.0,2.0
134,Macro,1000,32,6,1,228.5,18.0,5.0,4.0,90.0,1.25
135,Macro,1000,32,6,1,317.0,17.0,4.0,4.0,90.0,1.0
136,Macro,1000,32,6,1,162.5,16.0,5.0,4.0,90.0,1.25
137,Macro,1000,32,6,12,359.0,409.0,4.0,2.0,90.0,2.0
138,Macro,1000,32,6,12,93.0,409.0,4.0,2.0,90.0,2.0
139,Macro,1000,32,6,12,148.0,408.5,4.0,3.0,90.0,1.3333333333333333
140,Macro,1000,32,6,12,101.5,408.5,5.0,3.0,90.0,1.6666666666666667
141,Macro,1000,32,6,12,16.0,408.5,4.0,3.0,90.0,1.3333333333333333
142,Macro,1000,32,6,12,393.50128173828125,408.3656005859375,13.951986312866211,4.678984642028809,82.38392639160156,2.981840587281053
143,Macro,1000,32,6,12,392.0,408.0,10.0,4.0,90.0,2.5
144,Macro,1000,32,6,12,262.18603515625,408.69183349609375,8.419254302978516,6.2063117027282715,19.95499038696289,1.356563238562034
145,Macro,1000,32,6,12,262.0,408.0,6.0,4.0,90.0,1.5
146,Macro,1000,32,6,12,185.5,408.0,5.0,4.0,90.0,1.25
147,Macro,1000,32,6,12,123.59099578857422,408.66748046875,7.604962348937988,5.533816337585449,125.92943572998047,1.3742708259552097
148,Macro,1000,32,6,12,124.0,408.0,6.0,4.0,90.0,1.5
149,Macro,1000,32,6,12,113.0,408.0,6.0,4.0,90.0,1.5
150,Macro,1000,32,6,12,4.0,408.0,4.0,4.0,90.0,1.0
151,Macro,1000,32,6,12,227.39060974121094,409.45330810546875,12.361392974853516,7.093399524688721,5.869481086730957,1.7426613194180642
152,Macro,1000,32,6,12,227.5,407.0,7.0,6.0,90.0,1.1666666666666667
153,Macro,1000,32,6,12,283.0,405.0,4.0,4.0,90.0,1.0
154,Macro,1000,32,6,12,73.6308364868164,403.3359069824219,16.62956428527832,5.248013496398926,94.73664855957031,3.168735045496581
155,Macro,1000,32,6,12,72.0,403.5,8.0,5.0,90.0,1.6
156,Macro,1000,32,6,12,346.5,402.5,5.0,5.0,90.0,1.0
157,Macro,1000,32,6,12,25.727272033691406,400.2727355957031,7.106690406799316,6.428243637084961,135.0,1.1055415457187017
