,Type,Reynolds,Toil,Tcool,Time,cx,cy,major,minor,angle,AR
58,Macro,1000,32,6,12,193.0264129638672,333.2153015136719,11.375311851501465,7.453027248382568,116.32904052734375,1.5262673102355957
59,Macro,1000,32,6,12,193.5,333.5,9.0,7.0,90.0,1.2857142857142858
60,Macro,1000,32,6,12,99.5,332.0,5.0,4.0,90.0,1.25
61,Macro,1000,32,6,12,183.0,330.0,4.0,4.0,90.0,1.0
62,Macro,1000,32,6,12,285.0,329.0,4.0,4.0,90.0,1.0
63,Macro,1000,32,6,12,348.8736267089844,325.8619689941406,12.530137062072754,10.387614250183105,123.09352111816406,1.2062574485620585
64,Macro,1000,32,6,12,347.0,326.0,10.0,8.0,90.0,1.25
65,Macro,1000,32,6,12,321.3197937011719,323.27105712890625,10.303716659545898,5.4644246101379395,11.648514747619629,1.8855995634800788
66,Macro,1000,32,6,12,321.5,323.5,7.0,5.0,90.0,1.4
67,Macro,1000,32,6,12,236.00538635253906,322.8295593261719,10.078207015991211,7.691630840301514,134.58486938476562,1.3102822048069254
68,Macro,1000,32,6,12,236.0,323.0,8.0,6.0,90.0,1.3333333333333333
69,Macro,1000,32,6,12,331.0,319.0,4.0,4.0,90.0,1.0
70,Macro,1000,32,6,12,393.0,316.0,4.0,4.0,90.0,1.0
71,Macro,1000,32,6,12,346.0,313.0,4.0,4.0,90.0,1.0
72,Macro,1000,32,6,12,99.5,313.0,8.258329391479492,7.538788795471191,90.0,1.095445119306241
73,Macro,1000,32,6,12,100.0,313.0,6.0,6.0,90.0,1.0
74,Macro,1000,32,6,12,233.0,311.0,6.0,4.0,90.0,1.5
75,Macro,1000,32,6,12,296.9796447753906,308.9629821777344,10.370126724243164,5.837860107421875,20.94903564453125,1.776357523719909
76,Macro,1000,32,6,12,297.0,308.5,7.0,6.0,90.0,1.1666666666666667
77,Macro,1000,32,6,12,256.51324462890625,304.8060607910156,9.53236198425293,5.656709671020508,121.93627166748047,1.68514251899607
78,Macro,1000,32,6,12,256.5,305.0,7.0,6.0,90.0,1.1666666666666667
79,Macro,1000,32,6,12,68.31979370117188,305.72894287109375,10.303715705871582,5.464425086975098,168.3514862060547,1.8855992244145368
80,Macro,1000,32,6,12,68.5,305.5,7.0,5.0,90.0,1.4
81,Macro,1000,32,6,12,376.0,302.0,4.0,4.0,90.0,1.0
82,Macro,1000,32,6,12,166.0,296.5,7.0,4.0,90.0,1.75
83,Macro,1000,32,6,12,78.78163146972656,295.10333251953125,16.357826232910156,8.234395027160645,149.93975830078125,1.986524350478071
84,Macro,1000,32,6,12,79.0,297.5,11.0,10.0,90.0,1.1
85,Macro,1000,32,6,12,300.3197326660156,293.8453063964844,10.742856979370117,8.326748847961426,50.75550842285156,1.2901622440552183
86,Macro,1000,32,6,12,300.0,293.5,8.0,7.0,90.0,1.1428571428571428
87,Macro,1000,32,6,12,337.0,290.0,4.0,4.0,90.0,1.0
88,Macro,1000,32,6,12,238.72727966308594,289.2727355957031,7.106690406799316,6.428243637084961,135.0,1.1055415457187017
89,Macro,1000,32,6,12,238.5,289.5,5.0,5.0,90.0,1.0
90,Macro,1000,32,6,12,229.4326934814453,290.8236999511719,10.211681365966797,6.735711574554443,151.3606414794922,1.5160508660352314
91,Macro,1000,32,6,12,229.0,291.0,8.0,6.0,90.0,1.3333333333333333
92,Macro,1000,32,6,12,268.2574462890625,286.35784912109375,12.037161827087402,6.1789326667785645,105.81983947753906,1.9480972647276107
93,Macro,1000,32,6,12,269.0,286.0,8.0,6.0,90.0,1.3333333333333333
94,Macro,1000,32,6,12,139.08010864257812,287.3784484863281,12.556668281555176,7.241666793823242,47.736698150634766,1.7339472581457833
95,Macro,1000,32,6,12,138.5,287.5,9.0,9.0,90.0,1.0
96,Macro,1000,32,6,12,98.14928436279297,283.4712829589844,13.857732772827148,6.710019111633301,156.98345947265625,2.065230000433487
97,Macro,1000,32,6,12,98.0,283.5,9.0,8.0,90.0,1.125
