 ,Area,Mean,Mode,Min,Max,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
202,152.567,255,255,255,255,89.087,2.797,563.623,33.566,8.391,28.482,6.820,179.451,0.242,100,4.176,0.239,0.650
203,19.560,255,255,255,255,17.462,439.150,563.623,6.993,4.196,6.911,3.603,27.611,0.806,100,1.918,0.521,0.800
204,105.623,255,255,255,255,49.728,447.542,563.623,20.979,8.391,20.021,6.717,8.900,0.537,100,2.980,0.336,0.824
205,11.736,255,255,255,255,14.664,90.907,565.021,5.594,4.196,5.199,2.874,168.760,0.686,100,1.809,0.553,0.667
206,48.900,255,255,255,255,28.170,128.668,565.021,9.790,6.993,10.190,6.110,150.556,0.774,100,1.668,0.600,0.862
207,25.428,255,255,255,255,22.237,372.019,565.021,6.993,6.993,6.152,5.262,61.414,0.646,100,1.169,0.855,0.722
208,35.208,255,255,255,255,28.989,99.298,566.420,9.790,5.594,9.880,4.537,19.709,0.526,100,2.178,0.459,0.783
209,27.384,255,255,255,255,17.462,338.453,566.420,5.594,5.594,6.781,5.141,45.000,1.000,100,1.319,0.758,0.933
210,13.692,255,255,255,255,14.664,82.515,567.818,5.594,4.196,5.965,2.922,138.421,0.800,100,2.041,0.490,0.778
211,7.824,255,255,255,255,9.889,206.988,569.217,4.196,2.797,3.824,2.605,0.000,1.000,100,1.468,0.681,0.800
